# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
6yly,d,P0C2H8,?
6yly,e,P38061,?
6yly,f,P05744,?
6yly,g,P87262,?
6yly,h,P0CX84,?
6yly,i,P05745,?
6yly,j,P49166,?
6yly,k,P49167,?
6yly,l,P04650,?
6yly,n,P53261,?
6yly,o,P53927,?
6yly,p,P0CX25,?
6yly,q,Q12080,?
6yly,r,P40078,?
6yly,s,P40010,?
6yly,t,P40693,?
6yly,u,Q07915,?
6yly,y,Q12522,?
6yly,z,P38202,?
6ylz,AAA,P0AFI7,1.4.3.5
6ym0,E,P0DTC2,?
6ym1,A,P9WN95,?
6ym1,B,P9WN95,?
6ym2,A,Q96MU7,?
6ym2,B,Q96MU7,?
6ym3,A,P48426,2.7.1.149
6ym3,B,P48426,2.7.1.149
6ym4,A,P48426,2.7.1.149
6ym4,B,P48426,2.7.1.149
6ym5,A,P48426,2.7.1.149
6ym5,B,P48426,2.7.1.149
6ym8,A,Q96MU7,?
6ym8,B,Q96MU7,?
6ym9,A,P9WN95,?
6ym9,B,P9WN95,?
6yma,A,P00918,4.2.1.1
6yma,A,P00918,4.2.1.69
6ymb,A,P00918,4.2.1.1
6ymb,A,P00918,4.2.1.69
6ymd,A,I7H6W6,2.1.2.1
6ymd,B,I7H6W6,2.1.2.1
6yme,A,I7H6W6,2.1.2.1
6ymf,A,I7H6W6,2.1.2.1
6ymh,AAA,P0AFI7,1.4.3.5
6ymh,BBB,P0AFI7,1.4.3.5
6ymn,AAA,A0A2P1BT29,?
6ymn,BBB,A0A2P1BT29,?
6ymn,CCC,A0A2P1BT29,?
6ymn,DDD,A0A2P1BT29,?
6ymo,A,P63104,?
6ymo,B,P63104,?
6ymo,C,P04150,?
6ymo,D,P04150,?
6ymp,H,P00734,3.4.21.5
6ymp,I,P09945,?
6ymp,L,P00734,3.4.21.5
6ymq,D000,Q9NZC2,?
6ymq,G,Q9NZC2,?
6ymq,H,Q9NZC2,?
6ymq,I,Q9NZC2,?
6ymq,J,Q9NZC2,?
6ymq,K,Q9NZC2,?
6ymr,E,P43133,3.4.24.27
6yms,E,P43133,3.4.24.27
6ymu,A,Q9X0C6,4.3.2.10
6ymu,B,Q9X0C8,3.5.1.2
6ymu,B,Q9X0C8,4.3.2.10
6ymu,C,Q9X0C6,4.3.2.10
6ymu,D,Q9X0C8,3.5.1.2
6ymu,D,Q9X0C8,4.3.2.10
6ymu,E,Q9X0C6,4.3.2.10
6ymu,F,Q9X0C8,3.5.1.2
6ymu,F,Q9X0C8,4.3.2.10
6ymv,A,P13433,2.7.7.6
6ymv,B,P14908,2.1.1.-
6ymw,A,P13433,2.7.7.6
6ymw,B,P14908,2.1.1.-
6ymx,A,P07256,?
6ymx,B,P07257,?
6ymx,C,P00163,7.1.1.8
6ymx,D,P07143,7.1.1.8
6ymx,E,P08067,7.1.1.8
6ymx,F,P00127,?
6ymx,G,P00128,?
6ymx,H,P08525,?
6ymx,I,P22289,?
6ymx,L,P07256,?
6ymx,M,P07257,?
6ymx,N,P00163,7.1.1.8
6ymx,O,P07143,7.1.1.8
6ymx,P,P08067,7.1.1.8
6ymx,Q,P00127,?
6ymx,R,P00128,?
6ymx,S,P08525,?
6ymx,T,P22289,?
6ymx,U,P37299,?
6ymx,V,P37299,?
6ymx,a,P00401,7.1.1.9
6ymx,b,P00410,7.1.1.9
6ymx,c,P00420,7.1.1.9
6ymx,d,P04037,?
6ymx,e,P00424,?
6ymx,f,P00427,?
6ymx,g,P10174,?
6ymx,h,P04039,?
6ymx,i,P07255,?
6ymx,j,Q01519,?
6ymx,k,P32799,?
6ymx,m,Q2V2P9,?
6ymy,a,P00401,7.1.1.9
6ymy,b,P00410,7.1.1.9
6ymy,c,P00420,7.1.1.9
6ymy,d,P04037,?
6ymy,e,P00424,?
6ymy,f,P00427,?
6ymy,g,P10174,?
6ymy,h,P04039,?
6ymy,i,P07255,?
6ymy,j,Q01519,?
6ymy,k,P32799,?
6ymy,m,Q2V2P9,?
6ymz,A,Q6D6I7,3.1.1.61
6ymz,A,Q6D6I7,3.5.1.44
6ymz,B,Q6D6I7,3.1.1.61
6ymz,B,Q6D6I7,3.5.1.44
6ymz,C,Q6D6I7,3.1.1.61
6ymz,C,Q6D6I7,3.5.1.44
6ymz,D,Q6D6I7,3.1.1.61
6ymz,D,Q6D6I7,3.5.1.44
6ymz,E,Q6D6I7,3.1.1.61
6ymz,E,Q6D6I7,3.5.1.44
6yn0,A,P02919,2.4.1.129
6yn0,A,P02919,3.4.16.4
6yn0,B,P29131,?
6yn1,A,Q6AZJ8,?
6yn1,B,P02281,?
6yn1,C,P02302,?
6yn1,D,P62799,?
6yn1,E,Q8IW19,3.1.-.-
6yn1,F,Q6AZJ8,?
6yn1,G,P02281,?
6yn1,H,P02302,?
6yn1,I,P62799,?
6yn1,J,Q8IW19,3.1.-.-
6yn1,K,Q6AZJ8,?
6yn1,L,P02281,?
6yn1,M,P02302,?
6yn1,N,P62799,?
6yn1,O,Q8IW19,3.1.-.-
6yn1,P,Q6AZJ8,?
6yn1,Q,P02281,?
6yn1,R,P02302,?
6yn1,S,P62799,?
6yn1,T,Q8IW19,3.1.-.-
6yn1,U,Q6AZJ8,?
6yn1,V,P02281,?
6yn1,W,P02302,?
6yn1,X,P62799,?
6yn1,Y,Q8IW19,3.1.-.-
6yn1,Z,Q6AZJ8,?
6yn1,a,P02281,?
6yn1,b,P02302,?
6yn1,c,P62799,?
6yn1,d,Q8IW19,3.1.-.-
6yn1,e,Q6AZJ8,?
6yn1,f,P02281,?
6yn1,g,P02302,?
6yn1,h,P62799,?
6yn1,i,Q8IW19,3.1.-.-
6yn1,j,Q6AZJ8,?
6yn1,k,P02281,?
6yn1,l,P02302,?
6yn1,m,P62799,?
6yn1,n,Q8IW19,3.1.-.-
6yn2,A,P27652,1.13.12.5
6yn2,B,P27652,1.13.12.5
6yn3,H,P00734,3.4.21.5
6yn3,I,P09945,?
6yn3,L,P00734,3.4.21.5
6yn4,A,P48827,3.2.1.14
6yn5,A,P0A9H3,4.1.1.18
6yn5,B,P0A9H3,4.1.1.18
6yn5,C,P0A9H3,4.1.1.18
6yn5,D,P0A9H3,4.1.1.18
6yn5,E,P0A9H3,4.1.1.18
6yn5,F,P0A9H3,4.1.1.18
6yn5,G,P0A9H3,4.1.1.18
6yn5,H,P0A9H3,4.1.1.18
6yn5,I,P0A9H3,4.1.1.18
6yn5,J,P0A9H3,4.1.1.18
6yn6,A,P0A9H3,4.1.1.18
6yn6,B,P0A9H3,4.1.1.18
6yn6,C,P0A9H3,4.1.1.18
6yn6,D,P0A9H3,4.1.1.18
6yn6,E,P0A9H3,4.1.1.18
6yn6,F,P0A9H3,4.1.1.18
6yn6,G,P0A9H3,4.1.1.18
6yn6,H,P0A9H3,4.1.1.18
6yn6,I,P0A9H3,4.1.1.18
6yn6,J,P0A9H3,4.1.1.18
6yn6,K,P0A9H3,4.1.1.18
6yn6,L,P0A9H3,4.1.1.18
6yn6,M,P0A9H3,4.1.1.18
6yn6,N,P0A9H3,4.1.1.18
6yn6,O,P0A9H3,4.1.1.18
6yn6,P,P0A9H3,4.1.1.18
6yn6,Q,P0A9H3,4.1.1.18
6yn6,R,P0A9H3,4.1.1.18
6yn6,S,P0A9H3,4.1.1.18
6yn6,T,P0A9H3,4.1.1.18
6yn8,A,Q9UDY8,3.4.22.-
6yn9,A,Q9UDY8,3.4.22.-
6yna,A,P25321,2.7.11.11
6yna,B,P63248,?
6ynb,A,P25321,2.7.11.11
6ynb,B,P63248,?
6ync,A,P25321,2.7.11.11
6ync,B,P63248,?
6ynd,A,P04406,1.2.1.12
6ynd,A,P04406,2.6.99.-
6ynd,B,P04406,1.2.1.12
6ynd,B,P04406,2.6.99.-
6ynd,C,P04406,1.2.1.12
6ynd,C,P04406,2.6.99.-
6ynd,D,P04406,1.2.1.12
6ynd,D,P04406,2.6.99.-
6ynd,E,P04406,1.2.1.12
6ynd,E,P04406,2.6.99.-
6ynd,F,P04406,1.2.1.12
6ynd,F,P04406,2.6.99.-
6ynd,G,P04406,1.2.1.12
6ynd,G,P04406,2.6.99.-
6ynd,H,P04406,1.2.1.12
6ynd,H,P04406,2.6.99.-
6yne,A,P04406,1.2.1.12
6yne,A,P04406,2.6.99.-
6yne,B,P04406,1.2.1.12
6yne,B,P04406,2.6.99.-
6yne,C,P04406,1.2.1.12
6yne,C,P04406,2.6.99.-
6yne,D,P04406,1.2.1.12
6yne,D,P04406,2.6.99.-
6ynf,A,P04406,1.2.1.12
6ynf,A,P04406,2.6.99.-
6ynf,B,P04406,1.2.1.12
6ynf,B,P04406,2.6.99.-
6ynf,C,P04406,1.2.1.12
6ynf,C,P04406,2.6.99.-
6ynf,D,P04406,1.2.1.12
6ynf,D,P04406,2.6.99.-
6ynf,E,P04406,1.2.1.12
6ynf,E,P04406,2.6.99.-
6ynf,F,P04406,1.2.1.12
6ynf,F,P04406,2.6.99.-
6ynf,G,P04406,1.2.1.12
6ynf,G,P04406,2.6.99.-
6ynf,H,P04406,1.2.1.12
6ynf,H,P04406,2.6.99.-
6yng,A,P87577,?
6ynh,B,P04406,1.2.1.12
6ynh,B,P04406,2.6.99.-
6ynh,D,P04406,1.2.1.12
6ynh,D,P04406,2.6.99.-
6ynh,F,P04406,1.2.1.12
6ynh,F,P04406,2.6.99.-
6ynh,G,P04406,1.2.1.12
6ynh,G,P04406,2.6.99.-
6yni,A,Q96MU7,?
6yni,B,Q96MU7,?
6ynj,A,Q96MU7,?
6ynj,B,Q96MU7,?
6ynk,A,Q96MU7,?
6ynk,B,Q96MU7,?
6ynl,A,Q96MU7,?
6ynl,B,Q96MU7,?
6ynm,A,Q96MU7,?
6ynm,B,Q96MU7,?
6ynn,A,Q96MU7,?
6ynn,B,Q96MU7,?
6yno,A,Q96MU7,?
6yno,B,Q96MU7,?
6ynp,A,Q96MU7,?
6ynp,B,Q96MU7,?
6ynq,A,P0DTD1,2.1.1.56
6ynq,A,P0DTD1,2.1.1.57
6ynq,A,P0DTD1,2.7.7.48
6ynq,A,P0DTD1,2.7.7.50
6ynq,A,P0DTD1,3.1.13.-
6ynq,A,P0DTD1,3.4.19.12
6ynq,A,P0DTD1,3.4.22.-
6ynq,A,P0DTD1,3.4.22.69
6ynq,A,P0DTD1,3.6.4.12
6ynq,A,P0DTD1,3.6.4.13
6ynq,A,P0DTD1,4.6.1.-
6ynr,A,P25321,2.7.11.11
6ynr,B,P63248,?
6yns,A,P0DP23,?
6yns,B,P0DP23,?
6yns,C,P0DP23,?
6yns,D,P0DP23,?
6yns,E,P0DP23,?
6yns,F,P0DP23,?
6yns,G,P0DP23,?
6yns,H,P0DP23,?
6yns,I,P0DP23,?
6yns,J,P0DP23,?
6yns,K,P0DP23,?
6yns,L,P0DP23,?
6yns,N,P0DKX7,4.6.1.1
6yns,O,P0DKX7,4.6.1.1
6yns,Q,P0DKX7,4.6.1.1
6yns,R,P0DKX7,4.6.1.1
6yns,S,P0DKX7,4.6.1.1
6yns,T,P0DKX7,4.6.1.1
6yns,U,P0DKX7,4.6.1.1
6yns,V,P0DKX7,4.6.1.1
6yns,W,P0DKX7,4.6.1.1
6yns,X,P0DKX7,4.6.1.1
6yns,Y,P0DKX7,4.6.1.1
6yns,Z,P0DKX7,4.6.1.1
6yns,a,P0DKX7,4.6.1.1
6yns,b,P0DKX7,4.6.1.1
6yns,c,P0DKX7,4.6.1.1
6yns,d,P0DKX7,4.6.1.1
6yns,e,P0DKX7,4.6.1.1
6yns,f,P0DKX7,4.6.1.1
6yns,g,P0DKX7,4.6.1.1
6yns,h,P0DKX7,4.6.1.1
6yns,i,P0DKX7,4.6.1.1
6yns,j,P0DKX7,4.6.1.1
6yns,k,P0DKX7,4.6.1.1
6yns,l,P0DKX7,4.6.1.1
6ynt,A,P25321,2.7.11.11
6ynt,B,P63248,?
6ynu,A,P0DP23,?
6ynu,B,P0DKX7,4.6.1.1
6ynu,C,P0DP23,?
6ynu,D,P0DKX7,4.6.1.1
6ynv,e,I7LVQ8,?
6ynw,H,Q951A5,3.6.1.34
6ynw,I,Q951A5,3.6.1.34
6ynw,J,Q951A5,3.6.1.34
6ynw,K,Q951A5,3.6.1.34
6ynw,L,Q951A5,3.6.1.34
6ynw,M,Q951A5,3.6.1.34
6ynw,N,Q951A5,3.6.1.34
6ynw,O,Q951A5,3.6.1.34
6ynw,P,Q951A5,3.6.1.34
6ynw,Q,Q951A5,3.6.1.34
6ynw,d,Q22ZH1,?
6ynw,e,I7MMW3,?
6ynw,g,Q22Z05,?
6ynx,A,Q951C1,?
6ynx,B,I7MJ84,?
6ynx,C,Q950Y8,?
6ynx,D,Q239R1,?
6ynx,E,I7LVQ8,?
6ynx,F,Q24I07,?
6ynx,G,I7M8Q3,?
6ynx,H,I7MCZ0,?
6ynx,I,I7LZW2,?
6ynx,J,Q228N4,?
6ynx,K,I7LSX6,?
6ynx,L,I7MCQ6,?
6ynx,M,I7M980,?
6ynx,N,I7LVK6,?
6ynx,O,Q24HK1,?
6ynx,P,I7LZE5,?
6ynx,Q,Q22DV8,?
6ynx,R,I7M0G0,?
6ynx,S,I7MLU7,?
6ynx,a,Q951C1,?
6ynx,b,I7MJ84,?
6ynx,c,Q950Y8,?
6ynx,d,Q239R1,?
6ynx,e,I7LVQ8,?
6ynx,f,Q24I07,?
6ynx,g,I7M8Q3,?
6ynx,h,I7MCZ0,?
6ynx,i,I7LZW2,?
6ynx,i1,I7M7C0,?
6ynx,i2,I7M7C0,?
6ynx,j,Q228N4,?
6ynx,k,I7LSX6,?
6ynx,l,I7MCQ6,?
6ynx,m,I7M980,?
6ynx,n,I7LVK6,?
6ynx,o,Q24HK1,?
6ynx,p,I7LZE5,?
6ynx,q,Q22DV8,?
6ynx,r,I7M0G0,?
6ynx,s,I7MLU7,?
6ynx,t,I7M7B9,?
6yny,A,Q951C1,?
6yny,A1,Q24HY8,?
6yny,A2,Q24HY8,?
6yny,B,I7MJ84,?
6yny,B1,Q24HY8,?
6yny,B2,Q24HY8,?
6yny,C,Q950Y8,?
6yny,C1,Q24HY8,?
6yny,C2,Q24HY8,?
6yny,D,Q239R1,?
6yny,D1,I7LZV1,7.1.2.2
6yny,D2,I7LZV1,7.1.2.2
6yny,E,I7LVQ8,?
6yny,E1,I7LZV1,7.1.2.2
6yny,E2,I7LZV1,7.1.2.2
6yny,F,Q24I07,?
6yny,F1,I7LZV1,7.1.2.2
6yny,F2,I7LZV1,7.1.2.2
6yny,G,I7M8Q3,?
6yny,G1,I7MMI7,?
6yny,G2,I7MMI7,?
6yny,H,I7MCZ0,?
6yny,H1,Q951A5,3.6.1.34
6yny,H2,Q951A5,3.6.1.34
6yny,I,I7LZW2,?
6yny,I1,Q951A5,3.6.1.34
6yny,I2,Q951A5,3.6.1.34
6yny,J,Q228N4,?
6yny,J1,Q951A5,3.6.1.34
6yny,J2,Q951A5,3.6.1.34
6yny,K,I7LSX6,?
6yny,K1,Q951A5,3.6.1.34
6yny,K2,Q951A5,3.6.1.34
6yny,L,I7MCQ6,?
6yny,L1,Q951A5,3.6.1.34
6yny,L2,Q951A5,3.6.1.34
6yny,M,I7M980,?
6yny,M1,Q951A5,3.6.1.34
6yny,M2,Q951A5,3.6.1.34
6yny,N,I7LVK6,?
6yny,N1,Q951A5,3.6.1.34
6yny,N2,Q951A5,3.6.1.34
6yny,O,Q24HK1,?
6yny,O1,Q951A5,3.6.1.34
6yny,O2,Q951A5,3.6.1.34
6yny,P,I7LZE5,?
6yny,P1,Q951A5,3.6.1.34
6yny,P2,Q951A5,3.6.1.34
6yny,Q,Q22DV8,?
6yny,Q1,Q951A5,3.6.1.34
6yny,Q2,Q951A5,3.6.1.34
6yny,R,I7M0G0,?
6yny,S,I7MLU7,?
6yny,a,Q951C1,?
6yny,b,I7MJ84,?
6yny,c,Q950Y8,?
6yny,d,Q239R1,?
6yny,d1,Q22ZH1,?
6yny,d2,Q22ZH1,?
6yny,e,I7LVQ8,?
6yny,e1,I7MMW3,?
6yny,e2,I7MMW3,?
6yny,f,Q24I07,?
6yny,g,I7M8Q3,?
6yny,g1,Q22Z05,?
6yny,g2,Q22Z05,?
6yny,h,I7MCZ0,?
6yny,i,I7LZW2,?
6yny,i1,I7M7C0,?
6yny,i2,I7M7C0,?
6yny,j,Q228N4,?
6yny,k,I7LSX6,?
6yny,l,I7MCQ6,?
6yny,m,I7M980,?
6yny,n,I7LVK6,?
6yny,o,Q24HK1,?
6yny,p,I7LZE5,?
6yny,q,Q22DV8,?
6yny,r,I7M0G0,?
6yny,s,I7MLU7,?
6yny,t,I7M7B9,?
6ynz,A,Q951C1,?
6ynz,A1,Q24HY8,?
6ynz,A2,Q24HY8,?
6ynz,A3,Q951C1,?
6ynz,A4,Q24HY8,?
6ynz,A5,Q24HY8,?
6ynz,B,I7MJ84,?
6ynz,B1,Q24HY8,?
6ynz,B2,Q24HY8,?
6ynz,B3,I7MJ84,?
6ynz,B4,Q24HY8,?
6ynz,B5,Q24HY8,?
6ynz,C,Q950Y8,?
6ynz,C1,Q24HY8,?
6ynz,C2,Q24HY8,?
6ynz,C3,Q950Y8,?
6ynz,C4,Q24HY8,?
6ynz,C5,Q24HY8,?
6ynz,D,Q239R1,?
6ynz,D1,I7LZV1,7.1.2.2
6ynz,D2,I7LZV1,7.1.2.2
6ynz,D3,Q239R1,?
6ynz,D4,I7LZV1,7.1.2.2
6ynz,D5,I7LZV1,7.1.2.2
6ynz,E,I7LVQ8,?
6ynz,E1,I7LZV1,7.1.2.2
6ynz,E2,I7LZV1,7.1.2.2
6ynz,E3,I7LVQ8,?
6ynz,E4,I7LZV1,7.1.2.2
6ynz,E5,I7LZV1,7.1.2.2
6ynz,F,Q24I07,?
6ynz,F1,I7LZV1,7.1.2.2
6ynz,F2,I7LZV1,7.1.2.2
6ynz,F3,Q24I07,?
6ynz,F4,I7LZV1,7.1.2.2
6ynz,F5,I7LZV1,7.1.2.2
6ynz,G,I7M8Q3,?
6ynz,G1,I7MMI7,?
6ynz,G2,I7MMI7,?
6ynz,G3,I7M8Q3,?
6ynz,G4,I7MMI7,?
6ynz,G5,I7MMI7,?
6ynz,H,I7MCZ0,?
6ynz,H1,Q951A5,3.6.1.34
6ynz,H2,Q951A5,3.6.1.34
6ynz,H3,I7MCZ0,?
6ynz,H4,Q951A5,3.6.1.34
6ynz,H5,Q951A5,3.6.1.34
6ynz,I,I7LZW2,?
6ynz,I1,Q951A5,3.6.1.34
6ynz,I2,Q951A5,3.6.1.34
6ynz,I3,I7LZW2,?
6ynz,I4,Q951A5,3.6.1.34
6ynz,I5,Q951A5,3.6.1.34
6ynz,J,Q228N4,?
6ynz,J1,Q951A5,3.6.1.34
6ynz,J2,Q951A5,3.6.1.34
6ynz,J3,Q228N4,?
6ynz,J4,Q951A5,3.6.1.34
6ynz,J5,Q951A5,3.6.1.34
6ynz,K,I7LSX6,?
6ynz,K1,Q951A5,3.6.1.34
6ynz,K2,Q951A5,3.6.1.34
6ynz,K3,I7LSX6,?
6ynz,K4,Q951A5,3.6.1.34
6ynz,K5,Q951A5,3.6.1.34
6ynz,L,I7MCQ6,?
6ynz,L1,Q951A5,3.6.1.34
6ynz,L2,Q951A5,3.6.1.34
6ynz,L3,I7MCQ6,?
6ynz,L4,Q951A5,3.6.1.34
6ynz,L5,Q951A5,3.6.1.34
6ynz,M,I7M980,?
6ynz,M1,Q951A5,3.6.1.34
6ynz,M2,Q951A5,3.6.1.34
6ynz,M3,I7M980,?
6ynz,M4,Q951A5,3.6.1.34
6ynz,M5,Q951A5,3.6.1.34
6ynz,N,I7LVK6,?
6ynz,N1,Q951A5,3.6.1.34
6ynz,N2,Q951A5,3.6.1.34
6ynz,N3,I7LVK6,?
6ynz,N4,Q951A5,3.6.1.34
6ynz,N5,Q951A5,3.6.1.34
6ynz,O,Q24HK1,?
6ynz,O1,Q951A5,3.6.1.34
6ynz,O2,Q951A5,3.6.1.34
6ynz,O3,Q24HK1,?
6ynz,O4,Q951A5,3.6.1.34
6ynz,O5,Q951A5,3.6.1.34
6ynz,P,I7LZE5,?
6ynz,P1,Q951A5,3.6.1.34
6ynz,P2,Q951A5,3.6.1.34
6ynz,P3,I7LZE5,?
6ynz,P4,Q951A5,3.6.1.34
6ynz,P5,Q951A5,3.6.1.34
6ynz,Q,Q22DV8,?
6ynz,Q1,Q951A5,3.6.1.34
6ynz,Q2,Q951A5,3.6.1.34
6ynz,Q3,Q22DV8,?
6ynz,Q4,Q951A5,3.6.1.34
6ynz,Q5,Q951A5,3.6.1.34
6ynz,R,I7M0G0,?
6ynz,R3,I7M0G0,?
6ynz,S,I7MLU7,?
6ynz,S3,I7MLU7,?
6ynz,a,Q951C1,?
6ynz,a3,Q951C1,?
6ynz,b,I7MJ84,?
6ynz,b3,I7MJ84,?
6ynz,c,Q950Y8,?
6ynz,c3,Q950Y8,?
6ynz,d,Q239R1,?
6ynz,d1,Q22ZH1,?
6ynz,d2,Q22ZH1,?
6ynz,d3,Q239R1,?
6ynz,d4,Q22ZH1,?
6ynz,d5,Q22ZH1,?
6ynz,e,I7LVQ8,?
6ynz,e1,I7MMW3,?
6ynz,e2,I7MMW3,?
6ynz,e3,I7LVQ8,?
6ynz,e4,I7MMW3,?
6ynz,e5,I7MMW3,?
6ynz,f,Q24I07,?
6ynz,f3,Q24I07,?
6ynz,g,I7M8Q3,?
6ynz,g1,Q22Z05,?
6ynz,g2,Q22Z05,?
6ynz,g3,I7M8Q3,?
6ynz,g4,Q22Z05,?
6ynz,g5,Q22Z05,?
6ynz,h,I7MCZ0,?
6ynz,h3,I7MCZ0,?
6ynz,i,I7LZW2,?
6ynz,i1,I7M7C0,?
6ynz,i2,I7M7C0,?
6ynz,i3,I7LZW2,?
6ynz,i4,I7M7C0,?
6ynz,i5,I7M7C0,?
6ynz,j,Q228N4,?
6ynz,j3,Q228N4,?
6ynz,k,I7LSX6,?
6ynz,k3,I7LSX6,?
6ynz,l,I7MCQ6,?
6ynz,l3,I7MCQ6,?
6ynz,m,I7M980,?
6ynz,m3,I7M980,?
6ynz,n,I7LVK6,?
6ynz,n3,I7LVK6,?
6ynz,o,Q24HK1,?
6ynz,o3,Q24HK1,?
6ynz,p,I7LZE5,?
6ynz,p3,I7LZE5,?
6ynz,q,Q22DV8,?
6ynz,q3,Q22DV8,?
6ynz,r,I7M0G0,?
6ynz,r3,I7M0G0,?
6ynz,s,I7MLU7,?
6ynz,s3,I7MLU7,?
6ynz,t,I7M7B9,?
6ynz,t3,I7M7B9,?
6yo0,A1,Q24HY8,?
6yo0,B1,Q24HY8,?
6yo0,C1,Q24HY8,?
6yo0,D1,I7LZV1,7.1.2.2
6yo0,E1,I7LZV1,7.1.2.2
6yo0,F1,I7LZV1,7.1.2.2
6yo0,G1,I7MMI7,?
6yo0,b,I7MJ84,?
6yo0,d,Q239R1,?
6yo0,g1,Q22Z05,?
6yo0,i1,I7M7C0,?
6yo0,s,I7MLU7,?
6yo1,A,P61823,4.6.1.18
6yo1,B,P61823,4.6.1.18
6yo2,A,P00918,4.2.1.1
6yo2,A,P00918,4.2.1.69
6yo3,A,Q05097,?
6yo3,B,Q05097,?
6yo3,C,Q05097,?
6yo3,D,Q05097,?
6yo4,A,P00918,4.2.1.1
6yo4,A,P00918,4.2.1.69
6yo5,AAA,B5HSR1,?
6yo5,BBB,B5HSR1,?
6yo5,CCC,B5HSR1,?
6yo6,A,P01024,?
6yo6,B,P01024,?
6yo7,A,P00918,4.2.1.1
6yo7,A,P00918,4.2.1.69
6yo8,A,P63104,?
6yo8,B,P63104,?
6yo8,C,P63104,?
6yo8,D,P63104,?
6yo8,E,P04150,?
6yo8,F,P04150,?
6yo8,G,P04150,?
6yo8,H,P04150,?
6yo9,A,E1V7W1,3.5.4.44
6yo9,B,E1V7W1,3.5.4.44
6yoa,A,O82015,?
6yoa,B,O82015,?
6yob,A,P00698,3.2.1.17
6yoc,A,P00698,3.2.1.17
6yod,A,P00698,3.2.1.17
6yoe,A,P00698,3.2.1.17
6yof,A,Q5M4H8,?
6yog,A,Q5M4H8,?
6yoh,A,Q05097,?
6yoh,B,Q05097,?
6yoh,C,Q05097,?
6yoh,D,Q05097,?
6yoi,A,P00918,4.2.1.1
6yoi,A,P00918,4.2.1.69
6yoj,A,Q05397,2.7.10.2
6yok,A,P00918,4.2.1.1
6yok,A,P00918,4.2.1.69
6yol,A,P00918,4.2.1.1
6yol,A,P00918,4.2.1.69
6yom,A,Q9Y3Z3,3.1.5.-
6yom,B,Q9Y3Z3,3.1.5.-
6yon,A,A0A1U7Q1U3,3.2.1.4
6yon,B,A0A1U7Q1U3,3.2.1.4
6yon,C,A0A1U7Q1U3,3.2.1.4
6yon,D,A0A1U7Q1U3,3.2.1.4
6yoo,A,Q9H0R8,?
6yoo,B,Q9Y512,?
6yop,A,O95166,?
6yop,A,Q9Y512,?
6yoq,A,Q96MU7,?
6yoq,B,Q96MU7,?
6yor,A,P0DTC2,?
6yor,E,P0DTC2,?
6yos,A,P63104,?
6yos,B,P63104,?
6yos,C,P04150,?
6yot,A,P25321,2.7.11.11
6yot,B,P63248,?
6you,A,P25321,2.7.11.11
6yov,A,P68431,?
6yov,B,P62805,?
6yov,C,P04908,?
6yov,D,P06899,?
6yov,E,P68431,?
6yov,F,P62805,?
6yov,G,P04908,?
6yov,H,P06899,?
6yov,K,P42212,?
6yov,K,Q01860,?
6yov,L,P48431,?
6yow,A,P31947,?
6yow,P,Q04206,?
6yox,A,P31947,?
6yox,P,Q04206,?
6yoy,A,P31947,?
6yoy,P,Q04206,?
6yoz,AAA,P56680,3.2.1.4
6yoz,BBB,P56680,3.2.1.4
6yp1,AAA,P56680,3.2.1.4
6yp2,A,P31947,?
6yp2,P,Q04206,?
6yp3,A,P31947,?
6yp3,P,Q04206,?
6yp4,A,E1AQY1,?
6yp5,A,P03421,?
6yp5,B,P03421,?
6yp5,C,P03421,?
6yp5,D,P03421,?
6yp6,A,G3CFL3,?
6yp7,A,P06585,1.10.3.9
6yp7,B,Q9XQR6,?
6yp7,C,P06004,?
6yp7,D,P06006,1.10.3.9
6yp7,E,P13554,?
6yp7,F,P62096,?
6yp7,G,P27490,?
6yp7,H,Q9XQR3,?
6yp7,I,D5MAJ9,?
6yp7,J,P13555,?
6yp7,K,D5MAJ8,?
6yp7,L,P60147,?
6yp7,M,P69529,?
6yp7,N,P27490,?
6yp7,O,P14226,?
6yp7,S,A0A2D0TCJ1,?
6yp7,T,Q8HS25,?
6yp7,W,A0A2D0TCJ2,?
6yp7,X,Q8VYY1,?
6yp7,Y,P27490,?
6yp7,Z,Q32902,?
6yp7,a,P06585,1.10.3.9
6yp7,b,Q9XQR6,?
6yp7,c,P06004,?
6yp7,d,P06006,1.10.3.9
6yp7,e,P13554,?
6yp7,f,P62096,?
6yp7,g,P27490,?
6yp7,h,Q9XQR3,?
6yp7,i,D5MAJ9,?
6yp7,j,P13555,?
6yp7,k,D5MAJ8,?
6yp7,l,P60147,?
6yp7,m,P69529,?
6yp7,n,P27490,?
6yp7,o,P14226,?
6yp7,s,A0A2D0TCJ1,?
6yp7,t,Q8HS25,?
6yp7,w,A0A2D0TCJ2,?
6yp7,x,Q8VYY1,?
6yp7,y,P27490,?
6yp7,z,Q32902,?
6yp8,A,P31947,?
6yp8,P,Q04206,?
6yp9,A,P68135,3.6.4.-
6yp9,B,Q91YR1,?
6ypa,A,O58376,?
6ypa,B,O58376,?
6ypa,C,O58376,?
6ypa,D,O58376,?
6ypb,A,M4I1C6,3.6.1.68
6ypc,H,Q12262,?
6ypc,I,Q12748,?
6ypc,K,P47167,?
6ypc,T,P43618,?
